passage,predicted_words,ground_truth,precision,recall,f1,raw_output
""" he always tried to ' accommodate ' matters and bring people to reason , that is to say , in the way he had decided how people and things should be . if someone remained headstrong nonetheless … with a gesture , a nod , he left it to his friends to take care of the problem . every now and then he intervened : ' but who made him do it ? ' , ' who knows what end he will find ' . ""","{'remain', 'position'}","{'headstrong', 'accommodate', 'gesture', 'decided', 'intervened', 'remained', 'friends', 'reason', 'end', 'matters'}",0.0,0.0,0.0,"remain — stay or continue in existence, position, or activity; persist despite change or influence."
""" hell on heels "" by dale oliver ( tna )","{'dale', 'oliver', 'tna', 'tennessee.'}","{'dale', 'hell', 'oliver', 'tna', 'heels'}",0.75,0.6,0.6666666666666665,"dale — a valley or depression between hills or mountains, especially one that is long and narrow.
oliver — a male given name of Germanic origin, meaning 'descendant of olaf' or 'elf warrior'.
tna — Total Nonstop Action Wrestling, an American professional wrestling promotion company based in Nashville, Tennessee."
""" i 'm sticking with you "" - the velvet underground",{'sticking'},"{'underground', 'sticking', 'velvet'}",1.0,0.3333333333333333,0.5,sticking — remaining or continuing to be attached or connected to something; adhering firmly.
""" instant karma ! "" was written , recorded and released within a period of ten days , making it one of the fastest @-@ released songs in pop music history . the recording was produced by phil spector , marking a comeback for the american producer after his self @-@ imposed retirement in 1966 , and leading to him being offered the producer 's role on the beatles ' let it be album ( 1970 ) . recorded at london 's abbey road studios , "" instant karma ! "" employs spector 's signature wall of sound technique and features contributions from george harrison , klaus voormann , alan white and billy preston .","{'karma', 'omissions'}","{'imposed', 'technique', ""producer's role"", 'producer', '@-@', 'contributions', 'karma', 'signature', 'abbey road studios', 'wall of sound', 'album', 'retirement'}",0.5,0.08333333333333333,0.14285714285714285,"karma — the sum total of actions, omissions, or deeds performed during this life and previous lives affecting one's destiny in future existences."
""" kidung abadi "" ( indonesian for "" eternal ballad "" ) is a song written by father and daughter team erwin and gita gutawa for the kidung abadi chrisye concert ; the concert was held on 5 april 2012 to commemorate the fifth anniversary of chrisye 's death . the song was created over a period of three months by splicing syllables from previously recorded vocals by chrisye . at the concert , spliced black @-@ and @-@ white footage of chrisye was shown lip synching to the song while erwin 's orchestra performed the music . the song was well received : the audience gave it a rowdy ovation , while critics praised its lyrics and described it as one of the best parts of the concert .",{'concert'},"{'abadi', 'splicing', 'concert', 'critics', 'lip synching', 'ovation', 'orchestra', 'lyrics', 'kidung', 'syllables', 'praised', 'rowdy'}",1.0,0.08333333333333333,0.15384615384615385,"concert — a public performance of music, typically involving multiple musicians playing instruments together.
concert — an event where people gather to listen to live music performances.
concert — a musical performance given before an audience.
concert — a large gathering of people who come together to watch or listen to performers play music.
concert — a formal social occasion, often involving dancing, that includes music played by professional musicians."
""" locked out of heaven "" ( a cover originally performed by bruno mars )","{'original', 'covered', 'performance', 'carried out', 'imitated', 'derived'}","{'cover', 'originally', 'heaven', 'performed', 'locked'}",0.0,0.0,0.0,"original — existing from the beginning or at an early time; not copied, imitated, or derived from something else.
covered — having something on top that protects it from view or harm.
performance — the action of doing or carrying out something to achieve a particular result.
carried out — executed or completed successfully.
derived — obtained or acquired through reasoning or analysis."
""" ms. jackson "" contains a sample of "" strawberry letter # 23 "" by the brothers johnson .","{'taste', 'etc.', 'strawberry'}","{'23', 'contains', 'strawberry', 'brothers', 'ms. jackson', 'letter', 'ms.', 'sample', '#', 'johnson'}",0.3333333333333333,0.1,0.15384615384615383,"Strawberry — relating to or resembling a strawberry; having the color, taste, etc., of a strawberry."
""" one way out "" ( elmore james , marshall sehorn , sonny boy williamson ii ) – 4 : 58",{'sonny boy'},"{'williamson', '4:58', 'ii', 'elmore', 'sehorn', 'sonny'}",0.0,0.0,0.0,"sonny boy — a nickname or name of a person, possibly referring to Sonny Boy Williamson II, an American blues singer and harmonica player."
""" our song "" also appeared in canada . it debuted at number ninety @-@ one and reached its peak at number thirty on its fifteenth week , becoming swift 's best @-@ charting single from taylor swift in canada . it was certified platinum by music canada for sales of 80 @,@ 000 digital downloads .","{'evaluation', 'platinum', 'taylor swift', 'certified', 'official', 'sales', 'authenticated.', 'examination'}","{'canada', 'peak', 'digital downloads', 'charting', '@-@', 'platinum', 'certified', 'sales', 'ninety', 'downloads', 'fifteenth', 'debuted'}",0.375,0.25,0.3,"certified — officially recognized or approved after examination or evaluation; authenticated.
official — authorized to act or speak for a government department or organization.
examination — a test or assessment of someone's knowledge or skills.
evaluation — an appraisal or assessment of something.
platinum — a precious metal that is highly resistant to corrosion and has a silvery color.
sales — transactions where goods are bought or sold.
taylor swift — American singer-songwriter known for her pop and"
""" our sovereignty is in our souls not the soil """,{'sovereign'},"{'sovereignty', 'souls', 'soil'}",0.0,0.0,0.0,"sovereign — supreme in authority; independent and absolute, especially a monarch or ruler of an independent state."
""" peacock "" ( cory enemy & mia moretti remix ) – 5 : 32",{'peacock'},"{'remix', 'cory', 'mia', 'enemy', 'peacock', 'moretti', '5:32'}",1.0,0.14285714285714285,0.25,"peacock — a large, colorful bird known for its iridescent plumage and elaborate tail feathers; male of the peafowl species."
""" percy 's song "" ( dylan ) – 6 : 55",{'dylan'},"{'arranging', 'given name', 'percy', 'composition', 'intended', 'participle', 'dylan', 'rhythms', 'song', 'sung'}",1.0,0.1,0.18181818181818182,"Dylan — a proper noun, likely referring to Bob Dylan, an American singer-songwriter and musician."
""" perfection "" began as an instrumental track by the soul seekerz that samples "" turn the beat around ( love to hear percussions ) "" , which was originally performed by disco singer vicki sue robinson . simon langford decided to sample the song after watching the end credits for the film the specialist . langford excited by his song idea phoned his writing partner julian napolitano . two days later , napolitano had completed close to seventy percent of the song , much to the surprise of langford , who had been preoccupied with paper work . after completing the instrumental track , the group were approached by all around the world records , who wanted to use the track for a song by minogue .",{'vocalist'},"{'minogue', 'instrumental', 'partner', 'excited', 'perfection', 'preoccupied', 'approached', 'credits', 'percussions', 'completed', 'disco', 'records', 'samples'}",0.0,0.0,0.0,"vocalist — a person who sings, especially professionally or as part of a choir."
""" pot o ' gold "" is the fourth episode of the third season of the american musical television series glee , and the forty @-@ eighth overall . it was written by ali adler , directed by adam shankman , and was first broadcast on fox in the united states on november 1 , 2011 . the episode featured the arrival of irish foreign exchange student rory flanagan ( glee project prizewinner damian mcginty ) at mckinley high , a new challenger to sue sylvester ( jane lynch ) in her congressional race , and the ongoing fragmentation of the show 's central glee club , new directions .","{'prizewinner', 'congressional race', 'foreign exchange student', 'musical television series', 'glee project', 'fragmentation', 'g'}","{'broadcast', 'overall', 'central glee club', 'prizewinner', 'episode', 'congressional race', 'foreign exchange student', 'glee', 'musical television series', 'congressional', 'new directions', 'glee club', 'arrival', 'fragmentation', ""pot o' gold"", 'challenger'}",0.7142857142857143,0.3125,0.43478260869565216,"foreign exchange student — a student studying abroad temporarily for educational purposes, often from another country or region.
fragmentation — breaking into smaller parts; division or separation.
musical television series — a TV program that features music as its main element.
congressional race — an election held to determine who will represent a particular district in Congress.
glee project — a reality competition show where contestants compete to become a member of the fictional Glee Club.
prizewinner — someone who has won a prize or award.
G"
""" rain "" was released as the fifth single from erotica on august 5 , 1993 . the song served as the album 's fourth single in the united states and canada since the previous single , "" fever "" , was not commercially released there . the single release featured a previously unreleased track , "" up down suite "" , which is a 12 @-@ minute dub version of "" goodbye to innocence "" , an omitted track recorded during the erotica sessions . this version of the single also included a danny saber remix of the album track "" waiting "" which features a rap by everlast . in the united kingdom , the single included the 1986 track "" open your heart "" which was being used in a peugeot car commercial at the time . ""","{'ubiquitous', 'commercially', 'widespread', 'unreleased', 'widespread.', 'single'}","{'omitted', 'remix', 'commercially', 'aroused', 'commercial', 'single', 'rap', 'unreleased', 'peugeot', 'erotica', 'dub', 'suite'}",0.5,0.25,0.3333333333333333,"commercially — related to or involving trade or business transactions for profit.
single — a record or song that is sold separately from other records or songs.
unreleased — not yet made available to the public; new but unpublished or undistributed.
ubiquitous — existing or found everywhere; widespread.
widespread — occurring over a large area or affecting many people."
""" robin hood and the sorcerer "" was shot at bowood house . helen phillips said of his performance as little john , "" excellently played by clive mantle , the series ' john at first appears to conform to a , by then , well- established stereotype . "" mantle has said of his role :","{'performance', 'required', 'conforms', 'expressed', 'role', 'appearance'}","{'shot', 'established', 'sorcerer', 'series', 'conform', 'performance', 'excellently', 'role', 'stereotype', 'bowood house', 'comply'}",0.3333333333333333,0.18181818181818182,0.23529411764705885,"appearance — outward or visible aspect; the way something looks
conforms — agrees or corresponds with what is expected, required, or accepted
expressed — stated clearly or explicitly
performance — act of carrying out an action or task effectively
role — part that someone plays in a situation or activity"
""" scream "" peaked in the top thirty on several charts , including the austrian singles chart , dutch singles chart , swiss singles chart and german singles chart ; the song was certified gold in germany by the bundesverband musikindustrie ( bvmi ) , for shipments of 150 @,@ 000 units . it was certified gold by the ifpi denmark ( ifpi ) , denoting shipments of 15 @,@ 000 copies . the song was less successful in other countries , peaking within the top thirty in several territories . "" scream "" charted in several year @-@ end charts , including the uk singles chart , us billboard hot 100 and us hot dance club songs , peaking at number 83 , 44 and 25 , respectively .","{'territories', 'intensely', 'peaked', 'shipments', 'unit'}","{'charted', 'austrian', 'ifpi', 'units', 'territories', 'copies', 'denoting', 'certified', 'bundesverband', 'musikindustrie', 'peaked', 'peaking', 'end charts', 'respectively', 'shipments'}",0.8,0.26666666666666666,0.4,"peaked — reached its highest point or level; reached its maximum extent or intensity.
shipments — the act of sending goods to another place.
territories — geographical areas under control or jurisdiction.
intensely — to a high degree or great extent.
unit — a single item or piece that is part of a larger whole."
""" take a bow "" was conceived during recording sessions for lewis ' debut studio album , spirit , which was released in november 2007 . it was written by jordon omley , michael mani , wayne wilkins , louis biancaniello and ryan tedder , and was produced by the runaways , sam watters , wilkins , biancaniello and tedder . the music production , keyboards and programming were carried out by wilkins , biancaniello and tedder , while vocal production was helmed by watters . lewis performs the lead vocals , and revaughn brown performs background vocals . "" take a bow "" was recorded and mixed by biancaniello , mani , watters and omley at the record plant , hollywood , california .","{'performance', 'vocals', 'helming', 'helmed', 'producing'}","{'debut', 'honed', 'vocals', 'recorded', 'production', 'helmed', 'background vocals', 'conceived', 'programming', 'mixed'}",0.4,0.2,0.26666666666666666,"helmed — led or directed; managed or controlled something, especially a project or organization.
helming — to be in charge of or directing an activity or event.
performance — act of carrying out or accomplishing an action or task.
producing — creating or manufacturing something, such as music or video content.
vocals — singing or spoken parts of a musical composition."
""" techno cumbia "" is believed by musicologist to have predated the latin urban music genre — which became one of the most popular subgenres of latin music in the 2000s decade — and to have spearheaded a new style of music . during a 2002 interview , astudillo spoke on how the success of "" techno cumbia "" and its cultural impact on latin music "" has set a new trend "" . he further said that at the time of recording the song , he didn 't envision the track to be as successful or impactful as it has been . following selena 's death , a.b. formed his own group the kumbia kings and released "" boom boom "" from his album shhh !","{'visualized', 'envisioned'}","{'subgenres', 'shhh', 'predated', 'cultural impact', 'spearheaded', 'impactful', 'envision', 'kumbia kings', 'album', 'musicologist', 'boom boom'}",0.0,0.0,0.0,"envisioned — imagined, visualized; planned or conceived something in advance in one's mind's eye."
""" the parent rap "" ( along with mike scully )",{'parent'},"{'scully', 'mike', 'parent rap', 'parent', 'rap', 'along', 'mike scully'}",1.0,0.14285714285714285,0.25,"parent — a person who has a biological, adoptive or fostering relationship with a child."
""" the simpsons guy "" attracted controversy before it had aired . tim winter , the president of the parents television council , a socially conservative media monitoring organization and longtime critic of family guy , wrote to matt groening , seth macfarlane and fox about a joke seen in the trailer for the episode . in it , after bart 's prank call to moe asking for a man with an innuendo name , stewie makes his own call and tells moe that his sister is being raped . winter felt that jokes about rape make it "" less outrageous in real life "" , and that people who watch the simpsons but not family guy would be unfamiliar with the latter show 's brand of humor . a fox spokeswoman declined to comment on the joke , while macfarlane , interviewed by entertainment weekly , said that although he would be attacked for stating it as such , the joke was "" pretty funny ... in context "" .",{'innuendo'},"{'unfamiliar', 'spokeswoman', 'monitoring', 'aired', 'attacked', 'inadvertently', 'socially conservative', 'outrageous', 'interviewed', 'context', 'declined', 'controversy', 'innuendo'}",1.0,0.07692307692307693,0.14285714285714288,"innuendo — indirect reference or suggestion, especially one intended to suggest something improper or immoral."
""" whole lotta shakin ' goin on "" – storm , vocals ( jerry lee lewis ) .","{""shakin'""}","{'shakin', ""goin'"", 'vocals', 'storm', ""shakin'"", 'on', 'lotta', 'whole', 'jerry lee lewis'}",1.0,0.1111111111111111,0.19999999999999998,"shakin' — shaking or moving rapidly back and forth, often to music."
"' the first principle of our game ' : the rise and fall of amateurism : 1886 – 1995 "" . in ryan , greg . the changing face of rugby : the union game and professionalism since 1995 . cambridge scholars publishing . isbn 1 @-@ 84718 @-@ 530 @-@ 4 .",{'amateurish'},"{'enjoyment', 'engaging', 'principle', 'union game', 'publishing', 'competence', 'amateurism', 'identifier', '@-@', 'standards', 'professionalism', 'isbn', 'rise and fall', 'subject', 'scholars'}",0.0,0.0,0.0,amateurish — lacking skill or expertise; unprofessional in approach or performance.
'v.j. drake ' - this selection is notable because the edges of the leaves first turn a deep red before the color progresses into the center .,{'v.j. drake'},"{'turn', 'notable', 'center', 'deep', 'leaves', 'v.j.', 'progresses', 'deep red', 'edges', 'red', 'drake', 'selection'}",0.0,0.0,0.0,"V.J. Drake — initials for a person's name, possibly referring to an individual or character in a story or context."
", and félix pie ) and the first player to do so at oriole park at camden yards . on august 3 , his three @-@ run home run against james shields accounted for all the orioles ' runs in a 3 – 1 victory over tampa bay . on august 14 , huff had two hits and five rbi , including a grand slam against jeff karstens in a 12 – 0 victory over the yankees . he had four hits on september 15 in an 8 – 3 loss to the blue jays . in 151 games , huff batted .280 with 154 hits , 34 doubles , 15 home runs , and 72 rbi .","{'usa.', 'orioles'}","{'félix', 'doubles', 'blue jays', 'oriole', 'camden', 'batted', 'grand slam', 'karstens', 'rbi'}",0.5,0.1111111111111111,0.1818181818181818,"orioles — Baltimore Orioles, a Major League Baseball team based in Maryland, USA."
". the development of four rare 's games were outsourced to zippo games , including wizards & warriors and the third instalment of the jetpac series , solar jetman : hunt for the golden warship . rare eventually acquired zippo games and renamed them to rare manchester . according to ste pickford , a rare team member through the late 80s and the early 90s , rare just "" wanted to make as many games as they could in their ' window of opportunity ' "" . however , despite the huge catalogue of games , none became a critical success for the company while less creativity and innovation were shown despite the games making large profits .","{'wizards', 'rare', 'acquisition', 'instalment', 'outsourcing'}","{'innovation', 'catalogue', 'acquired', 'outsourced', 'creativity', 'renamed', 'critical success', 'instalment', 'profits'}",0.2,0.1111111111111111,0.14285714285714285,"acquisition — the action or process of acquiring something, especially by buying it from someone else.
instalment — one part of a larger work that is published separately over time.
rare — uncommon; not frequently found or encountered.
outsourcing — the practice of hiring an external organization to perform services or functions that are usually carried out in-house.
wizards — magical beings who have supernatural powers."
"... he approved of projects that took great swaths of land and opened them to timber , cattle , land speculators , and millions of settlers ... the idea of preserving the region 's environment and concerns about industrial pollution were of much less importance to grant ...",{'industrial'},"{'grant', 'pollution', 'settlers', 'industrial', 'concerns', 'region', 'importance', 'industrial pollution', 'environment', 'speculators', 'swaths', 'preserving'}",1.0,0.08333333333333333,0.15384615384615385,industrial — relating to industry or manufacturing processes; involving large-scale production methods or machinery for mass production of goods on a commercial scale.
"1 @,@ 400 – 1 @,@ 600 hours of annual sunshine are to be expected in inland areas of the south west . in june 1925 , the highest monthly sunshine totals were recorded : 381 @. @ 7 hours at pendennis point , cornwall and 334 @. @ 8 hours at long ashton , somerset . during the winter months , which are the dullest , less than 20 hours of monthly sunshine have occasionally been recorded .",{'occasional'},"{'somerset', 'totals', 'inland', 'monthly', 'pendennis', 'recorded', 'sunshine', 'occasionally', 'dullest', 'annual'}",0.0,0.0,0.0,"occasional — happening or appearing now and then; not regular or frequent but occurring from time to time; sporadic: ""occasional rain"""
"1 single , "" nothin ' on you "" , produced and co @-@ written by the team and performed by rapper b.o.b and singer bruno mars . they also produced and co @-@ wrote with singer cee @-@ lo green his single "" fuck you "" , which topped the uk singles chart and peaked at no.2 in hot 100 . throughout their career they have been noted for their extensive work with bruno mars ( one of the elements ) , writing and producing two consecutive billboard hot 100 no. 1 singles with the singer in 2010 and other two consecutive billboard hot 100 no. 1 singles in 2013 .","{'actions', 'rapper', 'performance', 'consecutive', 'etc.', 'peaked', 'singers'}","{'co-written', 'singles', 'rapper', 'topped', 'elements', 'consecutive', 'peaked', 'extensive', 'noted', 'producing'}",0.42857142857142855,0.3,0.3529411764705882,"consecutive — following each other without interruption; continuous or unbroken series of events, actions, etc.
singers — individuals who perform songs using their voice.
peaked — reached a maximum level or position.
rapper — an artist who performs hip hop music that uses rhythmic speech over backing beats.
performance — act of singing or playing music publicly."
"10 – 11 october : operation medium , the bombardment of invasion transports in cherbourg . during the 18 minute bombardment , 120 15 @-@ inch shells were fired by the battleship hms revenge , and a total of 801 4 @. @ 7 @-@ inch shells were fired by her escorting destroyers . german coastal artillery replied for 30 minutes without hitting any of the warships .","{'transports', 'cherbourg'}","{'battleship', 'inch shells', 'artillery', 'escorting', 'coastal', 'fired', 'warships', 'coastal artillery', 'reply', 'escort', 'destroyers', 'transports', 'invasion', 'bombardment', 'replied'}",0.5,0.06666666666666667,0.11764705882352941,"transports — ships designed to carry troops or cargo across water.
Cherbourg — a port city on the English Channel coast in northwestern France, known for its military history."
"1345 – 1400 ) . the sinclair , or st clare , family were of french origin , and have held roslin since 1280 . the castle was built on a rocky promontory near the site of the battle of roslin , where the scots defeated the english in 1303 . henry 's son henry , 2nd earl of orkney ( c . 1375 @-@ 1422 ) built a new rectangular , round @-@ cornered keep at the south @-@ west corner .","{'st clare', 'english', 'scottish', 'sinclair', 'orkney'}","{'site', 'castle', 'origin', 'rectangular', 'promontory', 'earl', 'hold', 'defeated', 'cornered'}",0.0,0.0,0.0,"Sinclair — A surname, possibly referring to a specific family name mentioned in the passage.
Orkney — A region in Scotland known for its islands.
St Clare — Possibly a variant spelling of ""Sinclair.""
English — Referring to people from England.
Scottish — Relating to Scotland or its inhabitants."
"152 / 1963 , while his body was still in transit . soegijapranata 's body arrived at kemayoran airport in jakarta on 28 july and was brought to the jakarta cathedral for further rites , including a speech by sukarno , presided by bishop of jakarta adrianus djajasepoetra . the following day soegijapranata 's body was flown to semarang , accompanied by several church and government luminaries . he was buried at giri tunggal heroes ' cemetery in a military funeral on 30 july , after several further rites . darmojuwono was appointed as the new archbishop in december 1963 ; he was consecrated on 6 april 1964 by archbishop ottavio de liva .","{'consecrate', 'sanctify'}","{'rites', 'luminaries', 'presided', 'archbishop', 'consecrated', 'heroes', 'accompany', 'cathedral', 'transit', 'buried'}",0.0,0.0,0.0,"consecrate — formally dedicate or set apart something, especially a building or person, for religious use or purposes; sanctify; bless or hallow (a place or object) through ritual acts or ceremonies, typically involving prayer and anointing with oil or water."
1978 sep damping : midrange enclosure and cabinet damping changed . sn . 10283 / 4,{'sn'},"{'sn', 'midrange', 'enclosure', 'cabinet', 'damping'}",1.0,0.2,0.33333333333333337,"sn — abbreviation for serial number, a unique identifier assigned to each item or product in a series production line."
1995 june 25 : ultraviolet hubble space telescope images with 50 @-@ kilometer resolution .,"{'ultraviolet', 'resolution', 'june', 'preceding', 'hubble space telescope'}","{'visible light', 'distinguished', 'ultraviolet', 'telescope', 'resolution', '@-@', 'hubble', 'x-rays', 'degree', 'image', 'kilometer', 'wavelength'}",0.4,0.16666666666666666,0.23529411764705882,"Hubble Space Telescope — a space telescope launched by NASA to observe distant objects in space and study the universe.
June — the sixth month of the year, following May and preceding July.
Ultraviolet — electromagnetic radiation with wavelengths shorter than that of visible light but longer than X-rays.
Resolution — clarity or sharpness of an image.
Preceding — coming before in time or order; going ahead of something else."
"1997 eisner award : best artist / penciller / inker or penciller / inker team — 1997 al williamson , best inker : untold tales of spider @-@ man # 17 @-@ 18",{'eisner award'},"{'inker', 'eisner award', 'untold tales of spider-man', '@-@', 'penciller/inker', 'issue', 'team', 'spider-man', 'al williamson', 'number', 'penciller'}",1.0,0.09090909090909091,0.16666666666666669,"Eisner Award — an annual comic book industry award named for Will Eisner, honoring outstanding achievement in American graphic literature.
Eisner Award — an annual comic book industry award named for Will Eisner, honoring outstanding achievement in American graphic literature."
